url	indexed	published	search_indexed	title_snippet	content_snippet	title	content	root_url	domain_url	host_url	parent_url	lang	porn_level	fluency_level	spam_level	sentiment	source_type	post_type	cluster_id	meta_cluster_id	tags_internal	tags_marking	tags_customer	entity_urls	images.url	images.width	images.height	images.legend	videos.url	videos.width	videos.height	videos.legend	pagemonitoring_sitemon_siteid	matched_profile	article_extended_attributes.facebook_shares	article_extended_attributes.facebook_likes	article_extended_attributes.twitter_retweets	article_extended_attributes.url_views	article_extended_attributes.pinterest_likes	article_extended_attributes.pinterest_pins	article_extended_attributes.pinterest_repins	article_extended_attributes.youtube_views	article_extended_attributes.youtube_likes	article_extended_attributes.youtube_dislikes	article_extended_attributes.instagram_likes	article_extended_attributes.twitter_shares	article_extended_attributes.num_comments	source_extended_attributes.alexa_pageviews	source_extended_attributes.facebook_followers	source_extended_attributes.twitter_followers	source_extended_attributes.instagram_followers	source_extended_attributes.pinterest_followers	extra_article_attributes.world_data.continent	extra_article_attributes.world_data.country	extra_article_attributes.world_data.country_code	extra_article_attributes.world_data.region	extra_article_attributes.world_data.city	extra_article_attributes.world_data.longitude	extra_article_attributes.world_data.latitude	extra_author_attributes.id	extra_author_attributes.type	extra_author_attributes.name	extra_author_attributes.birthdate.date	extra_author_attributes.birthdate.resolution	extra_author_attributes.gender	extra_author_attributes.image_url	extra_author_attributes.short_name	extra_author_attributes.url	extra_author_attributes.world_data.continent	extra_author_attributes.world_data.country	extra_author_attributes.world_data.country_code	extra_author_attributes.world_data.region	extra_author_attributes.world_data.city	extra_author_attributes.world_data.longitude	extra_author_attributes.world_data.latitude	extra_source_attributes.world_data.continent	extra_source_attributes.world_data.country	extra_source_attributes.world_data.country_code	extra_source_attributes.world_data.region	extra_source_attributes.world_data.city	extra_source_attributes.world_data.longitude	extra_source_attributes.world_data.latitude	engagement	reach	provider	generator.type	source_extended_attributes.alexa_unique_visitors	article_extended_attributes.twitter_likes	extra_author_attributes.description	article_extended_attributes.linkedin_shares	extra_source_attributes.name	word_count	rating
https://www.dispatchtribunal.com/2020/09/21/perspecta-inc-nasdaqprsp-receives-24-33-consensus-target-price-from-analysts.html	09/21/20 10:51:39 AM	09/21/20 6:46:44 AM	09/21/20 10:52:40 AM	Perspecta Inc (NASDAQ:PRSP) Receives $24.33 Consensus Target Price from Analysts	...Perspecta from a “hold” rating to a “sell” rating in a report on Wednesday, September 16th. Wedbush cut shares of Perspecta ... shares during the last quarter.  About Perspecta  Perspecta Inc provides enterprise information technology (IT) services to...	Perspecta Inc (NASDAQ:PRSP) Receives $24.33 Consensus Target Price from Analysts	Shares of Perspecta Inc (NASDAQ:PRSP) have received a consensus recommendation of “Hold” from the seven analysts that are presently covering the firm, MarketBeat reports. Two analysts have rated the stock with a sell rating and five have given a hold...	https://www.dispatchtribunal.com/	http://dispatchtribunal.com/	http://www.dispatchtribunal.com/	https://www.dispatchtribunal.com/2020/09/21/perspecta-inc-nasdaqprsp-receives-24-33-consensus-target-price-from-analysts.html	en	0	100	55	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/price-target/""},{""url"":""https://www.sec.gov/Archives/edgar/data/1369304/000172467020000081/xslF345X03/wf-form4_159484398691641.xml""},{""url"":""https://www.marketbeat.com/scripts/MoreOnMarketBeatBelowPost.aspx""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""https://www.marketbeat.com/""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0						0.0	0.0	ex:www.dispatchtribunal.com-247466618		Xavier Holt	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	20000			20000	0		0	www.dispatchtribunal.com	840	
https://www.wkrb13.com/2020/09/09/insider-buying-perspecta-inc-nasdaqprsp-ceo-buys-2500-shares-of-stock.html	09/08/20 11:38:05 PM	09/08/20 11:36:43 PM	09/08/20 11:39:14 PM	Insider Buying: Perspecta Inc (NASDAQ:PRSP) CEO Buys 2,500 Shares of Stock	Perspecta Inc (NASDAQ:PRSP) CEO John M. Curtis purchased 2,500 shares of Perspecta stock in a transaction on ... trade(s):  Perspecta  On Wednesday, July 15th, John M. Curtis purchased 18,354 shares of Perspecta stock. The stock was...	Insider Buying: Perspecta Inc (NASDAQ:PRSP) CEO Buys 2,500 Shares of Stock	Perspecta Inc (NASDAQ:PRSP) CEO John M. Curtis purchased 2,500 shares of Perspecta stock in a transaction on Friday, September 4th. The stock was bought at an average price of $19.93 per share, for a total transaction of $49,825.00. The transaction w...	https://www.wkrb13.com/	http://wkrb13.com/	http://www.wkrb13.com/	https://www.wkrb13.com/2020/09/09/insider-buying-perspecta-inc-nasdaqprsp-ceo-buys-2500-shares-of-stock.html	en	0	95	44	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.sec.gov/Archives/edgar/data/1724670/000172467020000122/xslF345X03/wf-form4_159959667467847.xml""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/insider-trades/""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:www.wkrb13.com-344687102		Scott Davis	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	10000			10000	0		0	www.wkrb13.com	712	
https://www.tickerreport.com/banking-finance/6336283/glenmede-trust-co-na-sells-4145-shares-of-perspecta-inc-nasdaqprsp.html	09/20/20 7:25:10 AM	09/20/20 3:24:44 AM	09/20/20 7:26:33 AM	Glenmede Trust Co. NA Sells 4,145 Shares of Perspecta Inc (NASDAQ:PRSP)	...in the last quarter.  Perspecta  NASDAQ:PRSP opened at $19.48 on Friday. Perspecta Inc has a 52-week low of $14.03 and a ... over the last three months.  Perspecta Company Profile  Perspecta Inc provides enterprise information technology (IT)...	Glenmede Trust Co. NA Sells 4,145 Shares of Perspecta Inc (NASDAQ:PRSP)	Glenmede Trust Co. NA lowered its position in Perspecta Inc (NASDAQ:PRSP) by 27.0% in the second quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owned 11,209 shares...	https://www.tickerreport.com/	http://tickerreport.com/	http://www.tickerreport.com/	https://www.tickerreport.com/banking-finance/6336283/glenmede-trust-co-na-sells-4145-shares-of-perspecta-inc-nasdaqprsp.html	en	0	95	52	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited,isQuestion			"[{""url"":""https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NASDAQ&amp;Symbol=PRSP""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://marketbeat.com/scripts/336x280AdNewsSites.ashx""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""https://www.marketbeat.com/financial-terms/what-is-the-cac-40-index/""}]"	https://www.marketbeat.com/logos/perspecta-inc-logo.jpg	500	261			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	0	0	0						0.0	0.0	ex:www.tickerreport.com-1633854410		Logan Wallace	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	40000			40000	0		0	www.tickerreport.com	848	
https://www.thelincolnianonline.com/2020/09/04/perspecta-nasdaqprsp-lifted-to-hold-at-zacks-investment-research.html	09/04/20 7:34:00 AM	09/04/20 3:32:44 AM	09/04/20 7:35:05 AM	Perspecta (NASDAQ:PRSP) Lifted to Hold at Zacks Investment Research	... Perspecta  Other equities analysts have also issued research reports about the stock. BidaskClub lowered shares of Perspecta ... of $21.74. Perspecta has a fifty-two week low of $14.03 and a fifty-two week high of $29.88.  Perspecta (NASDAQ:PRSP) last...	Perspecta (NASDAQ:PRSP) Lifted to Hold at Zacks Investment Research	Perspecta (NASDAQ:PRSP) was upgraded by from a “sell” rating to a “hold” rating in a report issued on Friday, Zacks.com reports.  According to Zacks, “Perspecta delivers IT services and business solutions to all levels of government in the United Sta...	https://www.thelincolnianonline.com/	http://thelincolnianonline.com/	http://www.thelincolnianonline.com/	https://www.thelincolnianonline.com/2020/09/04/perspecta-nasdaqprsp-lifted-to-hold-at-zacks-investment-research.html	en	0	90	47	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/price-target/""},{""url"":""http://www.zacks.com//""},{""url"":""http://www.americanconsumernews.net/scripts/click.aspx?Zacks=1""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""Zacks.com""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:www.thelincolnianonline.com-365812060		Alanna Baker	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	10000			10000	0		0	www.thelincolnianonline.com	830	
https://transcriptdaily.com/2020/09/12/perspecta-nasdaqprsp-stock-rating-upgraded-by-zacks-investment-research.html	09/12/20 5:04:12 AM	09/12/20 4:52:51 AM	09/12/20 5:06:20 AM	Perspecta (NASDAQ:PRSP) Stock Rating Upgraded by Zacks Investment Research	...  Perspecta  Other research analysts also recently issued reports about the stock. Wedbush downgraded shares of Perspecta ... average of $21.55. Perspecta has a 12-month low of $14.03 and a 12-month high of $29.88.  Perspecta (NASDAQ:PRSP) last...	Perspecta (NASDAQ:PRSP) Stock Rating Upgraded by Zacks Investment Research	Perspecta (NASDAQ:PRSP) was upgraded by from a “sell” rating to a “hold” rating in a research report issued to clients and investors on Thursday,  According to Zacks, “Perspecta delivers IT services and business solutions to all levels of government ...	https://transcriptdaily.com/	http://transcriptdaily.com/	http://transcriptdaily.com/	https://transcriptdaily.com/2020/09/12/perspecta-nasdaqprsp-stock-rating-upgraded-by-zacks-investment-research.html	en	0	95	44	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/price-target/""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:transcriptdaily.com-2135446072		Lauren Steadman	0	DAY	FEMALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	10000			10000	0		0	transcriptdaily.com	868	
https://zolmax.com/investing/perspecta-inc-nasdaqprsp-shares-acquired-by-charles-schwab-investment-management-inc/4839518.html	09/24/20 8:10:50 AM	09/24/20 8:08:48 AM	09/24/20 8:12:32 AM	Perspecta Inc (NASDAQ:PRSP) Shares Acquired by Charles Schwab Investment Management Inc.	...stake in Perspecta during the 1st quarter valued at approximately $77,518,000. Invesco Ltd. grew its stake in Perspecta by ... in the last quarter.  Perspecta  PRSP opened at $18.94 on Thursday. Perspecta Inc has a one year low of $14.03 and a one...	Perspecta Inc (NASDAQ:PRSP) Shares Acquired by Charles Schwab Investment Management Inc.	Charles Schwab Investment Management Inc. increased its stake in Perspecta Inc (NASDAQ:PRSP) by 5.2% in the second quarter, according to the company in its most recent disclosure with the SEC. The institutional investor owned 1,407,265 shares of the ...	https://zolmax.com/	http://zolmax.com/	http://zolmax.com/	https://zolmax.com/investing/perspecta-inc-nasdaqprsp-shares-acquired-by-charles-schwab-investment-management-inc/4839518.html	en	0	95	45	0	BLOG,BLOG_OTHER	TEXT			hasImage,isQuestion,containsImage			"[{""url"":""https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NASDAQ&amp;Symbol=PRSP""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://marketbeat.com/scripts/336x280AdNewsSites.ashx""},{""url"":""HoldingsChannel.com""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""https://www.holdingschannel.com/hedge-funds/holding-prsp/""},{""url"":""https://www.marketbeat.com/financial-terms/what-is-a-management-fee/""}]"	https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=300&h=300&zc=1&src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg	300	300			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	0	0	0						0.0	0.0	ex:zolmax.com-1687050033		John Perry	0	DAY	MALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	0	40000			40000	0		0	zolmax.com	842	
https://theolympiareport.com/2020/08/28/clarivest-asset-management-llc-purchases-74575-shares-of-perspecta-inc-nasdaqprsp.html	08/28/20 4:18:34 PM	08/28/20 12:16:47 PM	08/28/20 4:20:22 PM	ClariVest Asset Management LLC Purchases 74,575 Shares of Perspecta Inc (NASDAQ:PRSP)	...shares of Perspecta during the 1st quarter worth $158,000. Alpha Windward LLC raised its holdings in shares of Perspecta by ... position in shares of Perspecta during the 2nd quarter worth $223,000.  Perspecta  Several research analysts have recently...	ClariVest Asset Management LLC Purchases 74,575 Shares of Perspecta Inc (NASDAQ:PRSP)	ClariVest Asset Management LLC lifted its position in shares of Perspecta Inc (NASDAQ:PRSP) by 40.3% in the 2nd quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The institutional investor owned 259,835 ...	https://theolympiareport.com/	http://theolympiareport.com/	http://theolympiareport.com/	https://theolympiareport.com/2020/08/28/clarivest-asset-management-llc-purchases-74575-shares-of-perspecta-inc-nasdaqprsp.html	en	0	100	49	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage,isEdited			"[{""url"":""https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NASDAQ&amp;Symbol=PRSP""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://www.marketbeat.com/scripts/MoreOnMarketBeatBelowPost.aspx""},{""url"":""https://marketbeat.com/scripts/336x280AdNewsSites.ashx""},{""url"":""https://www.marketbeat.com/financial-terms/investing-dividend-stocks/""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""}]"	https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=300&h=300&zc=1&src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg	300	300			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:theolympiareport.com-1470951250		Renee Jackson	0	DAY	FEMALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	10000			10000	0		0	theolympiareport.com	747	
https://www.themarketsdaily.com/2020/08/28/9521-shares-in-perspecta-inc-nasdaqprsp-acquired-by-magnus-financial-group-llc.html	08/28/20 8:09:31 AM	08/28/20 8:07:09 AM	08/28/20 8:11:05 AM	9,521 Shares in Perspecta Inc (NASDAQ:PRSP) Acquired by Magnus Financial Group LLC	...position in Perspecta in the 1st quarter valued at $227,000.  Perspecta  NASDAQ PRSP opened at $21.34 on Friday. Perspecta ... consensus price target of $24.33.  Perspecta Company Profile  Perspecta Inc provides enterprise information technology (IT)...	9,521 Shares in Perspecta Inc (NASDAQ:PRSP) Acquired by Magnus Financial Group LLC	Magnus Financial Group LLC purchased a new stake in Perspecta Inc (NASDAQ:PRSP) during the 2nd quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The fund purchased 9,521 shares of the company’s stock, va...	https://www.themarketsdaily.com/	http://themarketsdaily.com/	http://www.themarketsdaily.com/	https://www.themarketsdaily.com/2020/08/28/9521-shares-in-perspecta-inc-nasdaqprsp-acquired-by-magnus-financial-group-llc.html	en	0	100	49	0	BLOG,BLOG_OTHER	TEXT			isEdited,isQuestion			"[{""url"":""https://www.sec.gov/Archives/edgar/data/1369304/000172467020000081/xslF345X03/wf-form4_159484398691641.xml""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:www.themarketsdaily.com-2129880413		Kim Johansen	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	10000			10000	0		0	www.themarketsdaily.com	729	
https://transcriptdaily.com/2020/09/21/perspecta-inc-nasdaqprsp-receives-24-33-consensus-target-price-from-analysts.html	09/21/20 10:48:23 AM	09/21/20 10:46:44 AM	09/21/20 10:50:08 AM	Perspecta Inc (NASDAQ:PRSP) Receives $24.33 Consensus Target Price from Analysts	...Perspecta from a “hold” rating to a “sell” rating in a report on Wednesday, September 16th. Wedbush cut shares of Perspecta ... shares during the last quarter.  About Perspecta  Perspecta Inc provides enterprise information technology (IT) services to...	Perspecta Inc (NASDAQ:PRSP) Receives $24.33 Consensus Target Price from Analysts	Shares of Perspecta Inc (NASDAQ:PRSP) have received a consensus recommendation of “Hold” from the seven analysts that are presently covering the firm, MarketBeat reports. Two analysts have rated the stock with a sell rating and five have given a hold...	https://transcriptdaily.com/	http://transcriptdaily.com/	http://transcriptdaily.com/	https://transcriptdaily.com/2020/09/21/perspecta-inc-nasdaqprsp-receives-24-33-consensus-target-price-from-analysts.html	en	0	100	47	0	BLOG,BLOG_OTHER	TEXT			isEdited			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/price-target/""},{""url"":""https://www.sec.gov/Archives/edgar/data/1369304/000172467020000081/xslF345X03/wf-form4_159484398691641.xml""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""https://www.marketbeat.com/""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	1	0	10000	0	0	0	0						0.0	0.0	ex:transcriptdaily.com-822923714		James Quigley	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	1	10000			10000	0		0	transcriptdaily.com	840	
https://www.dispatchtribunal.com/2020/09/08/marshall-wace-north-america-l-p-purchases-new-position-in-perspecta-inc-nasdaqprsp.html	09/08/20 7:28:12 AM	09/08/20 3:22:46 AM	09/08/20 7:29:21 AM	Marshall Wace North America L.P. Purchases New Position in Perspecta Inc (NASDAQ:PRSP)	...stock. Perspecta has a consensus rating of “Hold” and a consensus price target of $24.33.  About Perspecta  Perspecta Inc ... insider trades for Perspecta Inc (NASDAQ:PRSP).  Receive News & Ratings for Perspecta Daily - Enter your email address...	Marshall Wace North America L.P. Purchases New Position in Perspecta Inc (NASDAQ:PRSP)	Marshall Wace North America L.P. acquired a new position in shares of Perspecta Inc (NASDAQ:PRSP) during the 2nd quarter, according to its most recent 13F filing with the SEC. The firm acquired 100,411 shares of the company’s stock, valued at approxi...	https://www.dispatchtribunal.com/	http://dispatchtribunal.com/	http://www.dispatchtribunal.com/	https://www.dispatchtribunal.com/2020/09/08/marshall-wace-north-america-l-p-purchases-new-position-in-perspecta-inc-nasdaqprsp.html	en	0	100	50	0	BLOG,BLOG_OTHER	TEXT			isEdited,isQuestion			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://www.marketbeat.com/scripts/MoreOnMarketBeatBelowPost.aspx""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0						0.0	0.0	ex:www.dispatchtribunal.com-247466618		Xavier Holt	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	20000			20000	0		0	www.dispatchtribunal.com	838	
https://www.tickerreport.com/banking-finance/6353002/stifel-financial-corp-boosts-stake-in-perspecta-inc-nasdaqprsp.html	09/23/20 5:22:43 AM	09/23/20 1:20:51 AM	09/23/20 5:24:11 AM	Stifel Financial Corp Boosts Stake in Perspecta Inc (NASDAQ:PRSP)	...of Perspecta in the 2nd quarter valued at $223,000.  Perspecta  Perspecta stock opened at $19.56 on Wednesday. Perspecta Inc ... stock. Perspecta has a consensus rating of “Hold” and a consensus target price of $24.33.  Perspecta Profile  Perspecta Inc...	Stifel Financial Corp Boosts Stake in Perspecta Inc (NASDAQ:PRSP)	Stifel Financial Corp lifted its stake in shares of Perspecta Inc (NASDAQ:PRSP) by 218.6% in the second quarter, HoldingsChannel.com reports. The fund owned 56,443 shares of the company’s stock after acquiring an additional 38,729 shares during the q...	https://www.tickerreport.com/	http://tickerreport.com/	http://www.tickerreport.com/	https://www.tickerreport.com/banking-finance/6353002/stifel-financial-corp-boosts-stake-in-perspecta-inc-nasdaqprsp.html	en	0	100	52	0	BLOG,BLOG_OTHER	TEXT			hasImage,isQuestion,containsImage			"[{""url"":""https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NASDAQ&amp;Symbol=PRSP""},{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://marketbeat.com/scripts/336x280AdNewsSites.ashx""},{""url"":""HoldingsChannel.com""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""},{""url"":""http://www.holdingschannel.com/""},{""url"":""https://www.marketbeat.com/financial-terms/how-is-a-price-target-determined/""}]"	https://www.marketbeat.com/logos/perspecta-inc-logo.jpg	500	261			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	0	0	0						0.0	0.0	ex:www.tickerreport.com-1633854410		Logan Wallace	0	DAY	MALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	40000			40000	0		0	www.tickerreport.com	754	
https://www.themarketsdaily.com/2020/09/20/principal-financial-group-inc-buys-576069-shares-of-perspecta-inc-nasdaqprsp.html	09/20/20 10:43:39 AM	09/20/20 10:29:38 AM	09/20/20 10:45:47 AM	Principal Financial Group Inc. Buys 576,069 Shares of Perspecta Inc (NASDAQ:PRSP)	...stake in Perspecta during the first quarter valued at about $77,518,000. Invesco Ltd. grew its holdings in Perspecta by ... a new stake in Perspecta during the second quarter valued at about $56,771,000.  Perspecta  In other news, CEO John M...	Principal Financial Group Inc. Buys 576,069 Shares of Perspecta Inc (NASDAQ:PRSP)	Principal Financial Group Inc. raised its stake in shares of Perspecta Inc (NASDAQ:PRSP) by 47.3% in the 2nd quarter, according to its most recent disclosure with the SEC. The firm owned 1,793,176 shares of the company’s stock after purchasing an add...	https://www.themarketsdaily.com/	http://themarketsdaily.com/	http://www.themarketsdaily.com/	https://www.themarketsdaily.com/2020/09/20/principal-financial-group-inc-buys-576069-shares-of-perspecta-inc-nasdaqprsp.html	en	0	100	49	0	BLOG,BLOG_OTHER	TEXT	https://www.dispatchtribunal.com/2020/09/20/principal-financial-group-inc-buys-576069-shares-of-perspecta-inc-nasdaqprsp.html		isEdited			"[{""url"":""https://www.marketbeat.com/stocks/NASDAQ/PRSP/sec-filings/""},{""url"":""https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?w=250&amp;zc=1&amp;src=https://www.marketbeat.com/logos/perspecta-inc-logo.jpg""}]"		0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0						0.0	0.0	ex:www.themarketsdaily.com-142236268		Danessa Lincoln	0	DAY	FEMALE									0.0	0.0	North America	United States	us	South Dakota	Sioux Falls, South Dakota	-96.7291259765625	43.55255126953125	0	10000			10000	0		0	www.themarketsdaily.com	768	
https://blog.executivebiz.com/2020/09/perspecta-nextgenid-partner-to-develop-remote-identity-verification-platform-jeff-bohling-quoted/	09/22/20 11:53:14 AM	09/22/20 9:49:30 AM	09/22/20 11:54:41 AM	Perspecta, NextgenID Partner to Develop Remote Identity Verification Platform; Jeff Bohling Quoted	"...safely.""About Perspecta Inc.At Perspecta (NYSE: PRSP), we question, we seek and we solve. Perspecta brings a diverse set of ... support the backbone that enables it. Perspecta was formed to take on big challenges. We are an engine for growth and..."	Perspecta, NextgenID Partner to Develop Remote Identity Verification Platform; Jeff Bohling Quoted	Perspecta has entered into a collaboration agreement with NextgenID to develop an identity proofing solution to remotely assess and verify the identity of individuals who apply for credentials to gain physical and network access to government facilit...	https://blog.executivebiz.com/	http://executivebiz.com/	http://blog.executivebiz.com/	https://blog.executivebiz.com/2020/09/perspecta-nextgenid-partner-to-develop-remote-identity-verification-platform-jeff-bohling-quoted/	en	0	100	8	0	BLOG,BLOG_OTHER	TEXT			containsImage,hasImage			"[{""url"":""Inc.At""}]"	https://executivebiz-media.s3.amazonaws.com/2020/09/22/41/72/c1/3c/bd/a4/0a/34/a0If300000N9uJ4EAJ-bohling_jeff_20200324.png	0	0			0	0			SEARCH / Competitors / Perspecta	0	0	0	0	0	0	0	0	0	0	0	1	0	19000	0	0	0	0						0.0	0.0	ex:blog.executivebiz.com-1903007712		sarah sybert	0	DAY	FEMALE									0.0	0.0	North America	United States	us	Washington, D.C.	Washington, D.C.	-77.0086669921875	38.89984130859375	1	19000			19000	0		0	blog.executivebiz.com	402	
